STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
GHCND:USW00023293,15.5,37.3591,-121.924,20160310,0.00,-9999,-9999,70,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160311,0.23,-9999,-9999,60,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160312,0.03,-9999,-9999,60,46
GHCND:USW00023293,15.5,37.3591,-121.924,20160313,0.50,-9999,-9999,60,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160314,0.01,-9999,-9999,62,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160315,0.00,-9999,-9999,66,44
GHCND:USW00023293,15.5,37.3591,-121.924,20160316,0.00,-9999,-9999,71,43
GHCND:USW00023293,15.5,37.3591,-121.924,20160317,0.00,-9999,-9999,77,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160318,0.00,-9999,-9999,68,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160319,0.00,-9999,-9999,73,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160320,0.04,-9999,-9999,72,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160321,0.20,-9999,-9999,67,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160322,0.06,-9999,-9999,63,46
GHCND:USW00023293,15.5,37.3591,-121.924,20160323,0.00,-9999,-9999,67,45
GHCND:USW00023293,15.5,37.3591,-121.924,20160324,0.00,-9999,-9999,69,45
GHCND:USW00023293,15.5,37.3591,-121.924,20160325,0.00,-9999,-9999,70,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160326,0.00,-9999,-9999,72,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160327,0.00,-9999,-9999,66,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160328,0.04,-9999,-9999,61,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160329,0.00,-9999,-9999,66,41
GHCND:USW00023293,15.5,37.3591,-121.924,20160330,0.00,-9999,-9999,65,44
GHCND:USW00023293,15.5,37.3591,-121.924,20160331,0.00,-9999,-9999,68,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160401,0.00,-9999,-9999,66,45
GHCND:USW00023293,15.5,37.3591,-121.924,20160402,0.00,-9999,-9999,73,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160403,0.00,-9999,-9999,68,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160404,0.00,-9999,-9999,71,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160405,0.00,-9999,-9999,82,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160406,0.00,-9999,-9999,88,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160407,0.00,-9999,-9999,78,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160408,0.39,-9999,-9999,66,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160409,0.35,-9999,-9999,65,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160410,0.24,-9999,-9999,60,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160411,0.00,-9999,-9999,70,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160412,0.00,-9999,-9999,61,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160413,0.00,-9999,-9999,68,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160414,0.07,-9999,-9999,65,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160415,0.00,-9999,-9999,71,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160416,0.00,-9999,-9999,80,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160417,0.00,-9999,-9999,87,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160418,0.00,-9999,-9999,91,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160419,0.00,-9999,-9999,82,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160420,0.00,-9999,-9999,79,50
GHCND:USW00023293,15.5,37.3591,-121.924,20160421,0.00,-9999,-9999,77,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160422,0.42,-9999,-9999,64,54
